Objectid ,Straat ,Type_en_merk ,Aantal ,geo_shape,geo_point_2d,neighbourhood,avg_income
6690,Wilhelminaplein,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.47078174978938, 51.43755560989979], ""type"": ""Point""}","51.43755560989979, 5.47078174978938",Bergen,"45,8"
6695,Wilhelminaplein,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471225024193144, 51.43774364836265], ""type"": ""Point""}","51.43774364836265, 5.471225024193144",Bergen,"45,8"
6696,Wilhelminaplein,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471298153090453, 51.437780696292094], ""type"": ""Point""}","51.437780696292094, 5.471298153090453",Bergen,"45,8"
6699,Heilige Geeststraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.47218401632429, 51.43778290672449], ""type"": ""Point""}","51.43778290672449, 5.47218401632429",Bergen,"45,8"
6701,Heilige Geeststraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.472339041013192, 51.43766007556588], ""type"": ""Point""}","51.43766007556588, 5.472339041013192",Bergen,"45,8"
6704,Heilige Geeststraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.472621946888689, 51.437551419932745], ""type"": ""Point""}","51.437551419932745, 5.472621946888689",Bergen,"45,8"
6948,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473524252044481, 51.468670025568194], ""type"": ""Point""}","51.468670025568194, 5.473524252044481",Winkelcentrum,"38,7"
6951,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473620659833921, 51.46866857879095], ""type"": ""Point""}","51.46866857879095, 5.473620659833921",Winkelcentrum,"38,7"
6955,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.4737411856267375, 51.468665756724796], ""type"": ""Point""}","51.468665756724796, 5.4737411856267375",Winkelcentrum,"38,7"
6956,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473780630839817, 51.46866436112618], ""type"": ""Point""}","51.46866436112618, 5.473780630839817",Winkelcentrum,"38,7"
6957,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473813501614716, 51.46866433668007], ""type"": ""Point""}","51.46866433668007, 5.473813501614716",Winkelcentrum,"38,7"
7169,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.47429306884578, 51.46864405112668], ""type"": ""Point""}","51.46864405112668, 5.47429306884578",Winkelcentrum,"38,7"
7173,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474450548363347, 51.46863901643962], ""type"": ""Point""}","51.46863901643962, 5.474450548363347",Winkelcentrum,"38,7"
7176,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.4745581698709955, 51.46863893574935], ""type"": ""Point""}","51.46863893574935, 5.4745581698709955",Winkelcentrum,"38,7"
7179,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474671026860696, 51.46863720610892], ""type"": ""Point""}","51.46863720610892, 5.474671026860696",Winkelcentrum,"38,7"
7181,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.4747392725632515, 51.468637154826844], ""type"": ""Point""}","51.468637154826844, 5.4747392725632515",Winkelcentrum,"38,7"
